cik,company,delist_date,n_form25,edgar_class,adverse
1750,AAR CORP,2020-10-06,2,unknown,false
2034,ACETO CORP,2019-06-03,1,acquisition,false
2186,BK Technologies Corp,2019-03-29,1,unknown,false
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2020-08-07,1,unknown,false
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2021-04-15,1,unknown,false
2969,AIR PRODUCTS & CHEMICALS INC /DE/,2021-06-02,1,unknown,false
3116,AKORN INC,2020-06-09,1,bankruptcy,true
3153,ALABAMA POWER CO,2015-05-26,2,unknown,false
3153,ALABAMA POWER CO,2017-10-12,1,unknown,false
3153,ALABAMA POWER CO,2022-10-14,1,unknown,false
3906,ALLIED CAPITAL CORP,2021-03-25,1,unknown,false
4187,INDUSTRIAL SERVICES OF AMERICA INC,2019-12-30,1,acquisition,false
4281,Arconic Inc.,2017-10-02,1,unknown,false
4447,HESS CORP,2019-01-31,1,unknown,false
4457,AMERCO /NV/,2022-12-16,1,performance,true
4904,AMERICAN ELECTRIC POWER CO INC,2020-09-30,1,performance,true
4904,AMERICAN ELECTRIC POWER CO INC,2022-03-15,1,unknown,false
4904,AMERICAN ELECTRIC POWER CO INC,2023-08-14,1,unknown,false
4969,AMERICAN EXPRESS CREDIT CORP,2015-09-15,1,unknown,false
4969,AMERICAN EXPRESS CREDIT CORP,2020-04-27,1,unknown,false
4969,AMERICAN EXPRESS CREDIT CORP,2021-11-05,1,unknown,false
4977,AFLAC INC,2017-11-16,1,unknown,false
5272,AMERICAN INTERNATIONAL GROUP INC,2021-01-14,1,unknown,false
5272,"AMERICAN INTERNATIONAL GROUP, INC.",2022-06-15,1,unknown,false
5272,"AMERICAN INTERNATIONAL GROUP, INC.",2022-12-15,1,unknown,false
5768,"AMERICAN SCIENCE & ENGINEERING, INC.",2016-09-09,1,acquisition,false
6284,ANALOGIC CORP,2018-06-22,1,acquisition,false
6769,APACHE CORP,2020-06-08,2,performance,true
6769,APACHE CORP,2021-03-04,1,performance,true
6885,STAGE STORES INC,2020-05-27,1,bankruptcy,true
7039,TRECORA RESOURCES,2022-06-27,2,acquisition,false
7084,Archer-Daniels-Midland Co,2019-06-24,1,unknown,false
7084,Archer-Daniels-Midland Co,2023-06-23,1,unknown,false
7323,ENTERGY ARKANSAS INC,2016-09-15,1,unknown,false
7323,ENTERGY ARKANSAS INC,2018-12-04,3,unknown,false
7323,"ENTERGY ARKANSAS, LLC",2020-10-14,2,unknown,false
7332,SOUTHWESTERN ENERGY CO,2018-01-16,1,unknown,false
7789,ASSOCIATED BANC-CORP,2016-09-15,1,unknown,false
7789,ASSOCIATED BANC-CORP,2018-11-21,1,unknown,false
7789,ASSOCIATED BANC-CORP,2021-06-15,1,unknown,false
7789,ASSOCIATED BANC-CORP,2021-09-15,1,unknown,false
8411,ATWOOD OCEANICS INC,2017-10-06,1,acquisition,false
8504,"EnerJex Resources, Inc.",2016-10-26,1,performance,true
8818,Avery Dennison Corp,2020-11-09,1,unknown,false
8858,AVNET INC,2018-05-07,1,performance,true
8868,AVON PRODUCTS INC,2020-01-06,1,acquisition,false
9346,Protective Insurance Corp,2021-06-01,1,acquisition,false
9892,BARD C R INC /NJ/,2017-12-29,1,acquisition,false
10254,EARTHSTONE ENERGY INC,2017-05-24,1,acquisition,false
10254,EARTHSTONE ENERGY INC,2023-11-01,1,acquisition,false
10795,BECTON DICKINSON & CO,2019-06-06,1,unknown,false
10795,BECTON DICKINSON & CO,2020-05-01,1,unknown,false
